id,name,partOf,locationType
dPvIfGUih5kr,Koroh,Location/GN008005,HEALTH_FACILITY
iEg4HRJ4f9IH,Koniya,Location/GN008005,HEALTH_FACILITY
kgOoOfSkQ4Sg,Lomou,Location/GN008005,HEALTH_FACILITY
k5oEW3vAZ38c,Boze Nord,Location/GN008005,HEALTH_FACILITY
CImVgI1esnYx,Keoura,Location/GN008005,HEALTH_FACILITY
GhkmTHYhICmX,Womey,Location/GN00800510,HEALTH_FACILITY
th2YXqaMkGZ4,Zenemouda,Location/GN008005,HEALTH_FACILITY
21NjOYvfBBca,Kogna,Location/GN008005,HEALTH_FACILITY
fZ4LbqWg4pfi,Yomata,Location/GN008005,HEALTH_FACILITY
18TsuYENInAE,Pale,Location/GN00800507,HEALTH_FACILITY
AeopsBKBBeAU,Tamoe,Location/GN008005,HEALTH_FACILITY
yy7w5KSyM3S2,Zogbeanta,Location/GN008005,HEALTH_FACILITY
QtnxhvHEmFnP,Nona,Location/GN008005,HEALTH_FACILITY
bccqYe6g8qeL,Bazou,Location/GN008005,HEALTH_FACILITY
qVWl8fHOwwmS,Kola,Location/GN008005,HEALTH_FACILITY
ByAanVuIAvtg,Makpozou,Location/GN008005,HEALTH_FACILITY
89tdqfEVSI9R,Fossou,Location/GN008005,HEALTH_FACILITY
yHlXSTyWB9ib,Ouleouon,Location/GN008005,HEALTH_FACILITY
C4hD9AviyXAl,Kabieta,Location/GN008005,HEALTH_FACILITY
8OAYPMFdW3lr,Poste Kpoulo,Location/GN008005,HEALTH_FACILITY
niM4FqTphlHB,Gbouo,Location/GN008005,HEALTH_FACILITY
c41cvj8R801r,Souhoule,Location/GN008005,HEALTH_FACILITY
9F8dDg1ngZDq,Kpagalaye,Location/GN008005,HEALTH_FACILITY
8uBgfqmCJN9E,Kotozou,Location/GN008005,HEALTH_FACILITY
2fAdtLNLLIsK,Toulemou,Location/GN008005,HEALTH_FACILITY
YuQzPn1LSc3I,Yalenzou,Location/GN008005,HEALTH_FACILITY
s5qsoZskifnR,Zao,Location/GN008005,HEALTH_FACILITY
RT9yMy9xT7Do,Gbaya,Location/GN008005,HEALTH_FACILITY
qX7ax8lvXeJT,Gomou,Location/GN008005,HEALTH_FACILITY
0qzJqacOP3CY,Bounouma,Location/GN008005,HEALTH_FACILITY
XDisEHuNKSfF,Kerema,Location/GN008005,HEALTH_FACILITY
JCED2d72A2Ki,Koule-Sud,Location/GN008005,HEALTH_FACILITY
7JUufypoieiP,Gnema-Sud,Location/GN008005,HEALTH_FACILITY
mLT9Z7CVoDpP,Gbamba,Location/GN008005,HEALTH_FACILITY
3QxHltNN5uXI,Nyampara,Location/GN008005,HEALTH_FACILITY
RzQBjx2Q3tgX,Nyenh,Location/GN008005,HEALTH_FACILITY
XG2brNU952ie,Konipara,Location/GN008005,HEALTH_FACILITY
uNHuFW2cAWcw,Mawon,Location/GN008005,HEALTH_FACILITY
1AjMwWH4UGRe,Yalakpala,Location/GN008005,HEALTH_FACILITY
JQwEVKDayeEU,Kobela,Location/GN008005,HEALTH_FACILITY
GOpeFTTy3sPX,Samoe,Location/GN008005,HEALTH_FACILITY
WMc6AjdtHHnS,Koule,Location/GN008005,HEALTH_FACILITY
vXUBkwRhr0wk,Keremada,Location/GN008005,HEALTH_FACILITY
FbWrO2XR0fbu,Dourapa,Location/GN008005,HEALTH_FACILITY
6AGyurlTDuyE,Zogota,Location/GN008005,HEALTH_FACILITY
9CAlwH3hC11i,Kerezaghaye,Location/GN008005,HEALTH_FACILITY
yL1gtKDZD0Sf,Pampara,Location/GN008005,HEALTH_FACILITY
4oF8qEMMCLHT,Vomou,Location/GN008005,HEALTH_FACILITY
bmd8epQnr9uz,Mohata,Location/GN008005,HEALTH_FACILITY
KDRUegrODecN,Koronda,Location/GN008005,HEALTH_FACILITY
6WBlaqqHuVAX,Gouecke,Location/GN008005,HEALTH_FACILITY
WiSGMajBoV8t,Koropara,Location/GN008005,HEALTH_FACILITY
oHybddKi8A0E,Gbangoueta,Location/GN008005,HEALTH_FACILITY
goFSiyyQlKE1,Boma Sud,Location/GN008005,HEALTH_FACILITY
0k0pVmsJTLgF,Horoya,Location/GN008005,HEALTH_FACILITY
01Qp8Z9TjZxD,Commercial,Location/GN008005,HEALTH_FACILITY
0C1bFVxb3sKi,Gonia,Location/GN008005,HEALTH_FACILITY
WK4GVcmHPJJ8,Ouye,Location/GN008005,HEALTH_FACILITY
0F8NhdwV3Tc6,Kpao,Location/GN008005,HEALTH_FACILITY
6SVNvGaligZq,Nyen Sokoura,Location/GN008005,HEALTH_FACILITY
1gm844iIRgYp,Mohomou,Location/GN008005,HEALTH_FACILITY
dVjy2lxz1kTo,Dorota,Location/GN008005,HEALTH_FACILITY
FnXjjVVjlNhJ,Nzerekore,Location/GN00800506,HEALTH_FACILITY
rJtSuY1Huys5,Sokoura,Location/GN008005,HEALTH_FACILITY
7RIED3u3eIAF,Soulouta,Location/GN008005,HEALTH_FACILITY
ISiamMFWjx2c,St Abraham De Gouecke,Location/GN008005,HEALTH_FACILITY
WXxITyI3Uj9g,Kony,Location/GN008005,HEALTH_FACILITY
qjnzlmqBmXkO,Konia Aviation,Location/GN008005,HEALTH_FACILITY
EfZisHtuXsa3,Galakpaye,Location/GN008005,HEALTH_FACILITY
DntQeYh4xkwb,Esperance De N'Zao,Location/GN008005,HEALTH_FACILITY
3Pofmxwvsz41,Gbotoye,Location/GN008005,HEALTH_FACILITY
nS3mnVbA7osy,Tokpata,Location/GN008005,HEALTH_FACILITY
TpNn9zCL7NcJ,Boma-Nord,Location/GN008005,HEALTH_FACILITY
kBfvthQNxnn5,Gnema-Nord,Location/GN008005,HEALTH_FACILITY
nwNgh2PC3FMX,Kpamou,Location/GN008005,HEALTH_FACILITY
X3AcNoPPUIzD,Kolakpata,Location/GN008005,HEALTH_FACILITY
BFNPyk0735t7,Koule,Location/GN00800505,HEALTH_FACILITY
4opWRR76w6Zv,Gbenewili,Location/GN008005,HEALTH_FACILITY
pVSrrtiVRqEK,Kpaala,Location/GN008005,HEALTH_FACILITY
n9bKsx7z1qlX,Lomou,Location/GN008005,HEALTH_FACILITY
cNtieRtJssrV,Loukele,Location/GN008005,HEALTH_FACILITY
